Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
ADNT,Adient PLC,Automobiles & Auto Parts,12.54,-3.16,-2.00,-59.00,0,0,-1,1,-1,0,-0.5,0,9.94,-8.84,-51.42,--,0.09,0.76,8.81,54.26,-14.33,-2.05,-4.35,23.30,-4.68,-0.54,0.00,0.00
ADMA,ADMA Biologics Inc,Pharmaceuticals,24.51,5.00,8.00,234.00,0,0,0,1,0,0,1,1,-15.24,31.29,90.17,24.00,10.48,12.88,22.42,16.26,78.45,48.01,-18.52,45.45,19.12,26.78,0.00,0.00
ATGE,Adtalem Global Education Inc,Miscellaneous Educational Service Providers,106.45,-1.49,3.00,112.00,0,0,0,1,0,1,1,1,15.47,27.78,78.52,21.64,2.65,3.27,16.34,27.82,16.62,8.31,0.00,0.00,0.00,0.00,0.00,0.00
AAP,Advance Auto Parts Inc,Other Specialty Retailers,32.63,42.85,-16.00,-56.00,-1,0,0,1,0,0,0,1,40.14,16.12,-36.41,--,0.36,1.34,0.00,44.90,-25.33,-5.28,0.00,66.29,-6.76,1.14,2.03,33.03
AEIS,Advanced Energy Industries Inc,"Machinery, Equipment & Components",98.89,-2.37,6.00,5.00,0,0,1,1,0,1,1,1,12.31,-6.80,-3.38,58.53,2.80,3.57,30.53,31.49,6.36,3.13,41.51,20.57,13.31,7.68,0.35,0.00
ASIX,AdvanSix Inc,Chemicals,21.01,1.59,-7.00,-19.00,0,0,0,0.5,0,0,0,1,4.27,-15.68,-8.85,7.56,0.41,0.80,3.93,21.30,11.26,5.49,76.53,15.32,5.33,4.56,2.71,0.00
AVAV,"AeroVironment, Inc.",Aerospace & Defense,149.71,1.30,24.00,-5.00,0,0,0,1,0,0,1,1,5.67,11.01,-22.37,143.43,10.30,5.49,109.23,2.82,3.94,3.17,3.01,28.90,9.79,21.01,0.00,0.00
AGYS,Agilysys Inc,Software & IT Services,73.88,24.14,1.00,-11.00,0,0,0,1,0,1,1,1,30.92,32.87,-10.50,124.65,10.44,10.82,92.14,8.28,9.25,5.92,7.10,25.90,12.87,18.01,0.00,0.00
AL,Air Lease Corp,Banking Services,46.24,-0.51,-5.00,-11.00,0,0,1,1,0,0,0.5,1,17.61,18.17,7.63,10.00,2.27,0.81,3.54,71.66,8.47,2.20,91.15,-6.94,6.78,7.21,1.54,9.50
ALG,Alamo Group Inc,"Machinery, Equipment & Components",168.67,-1.63,-7.00,-15.00,1,0,0,1,0,0,0.5,0,9.39,10.51,-6.84,20.70,1.51,2.26,14.20,17.02,11.48,7.65,11.84,11.61,-0.47,4.99,0.60,16.72
ALRM,Alarm.com Holdings Inc,Software & IT Services,53.44,-3.01,-5.00,-20.00,1,0,0,1,0,0,0.5,1,1.75,-1.54,-22.82,24.12,2.96,3.72,18.10,54.81,17.27,7.12,0.44,6.55,4.87,4.18,0.00,0.00
AIN,Albany International Corp,"Machinery, Equipment & Components",66.58,-3.89,-5.00,-25.00,0,0,0,0.5,0,0,0,1,-5.68,-16.46,-33.75,26.47,1.65,2.21,11.94,31.51,8.32,4.48,-0.94,15.87,-0.89,4.45,1.64,7.63
ALEX,Alexander & Baldwin Inc (Hawaii),Residential & Commercial REITs,16.81,-1.64,-5.00,1.00,-1,0,0,0.5,0,0,0.5,1,-2.29,3.29,-5.74,19.46,5.52,0.00,12.45,0.00,0.00,0.00,-13.25,-8.33,-12.59,2.06,5.18,5.34
ALKS,Alkermes Plc,Biotechnology & Medical Research,27.91,-3.72,-16.00,13.00,0,0,,0.5,0,-1,0.5,1,1.96,-11.36,12.76,14.18,3.27,3.28,12.92,0.00,25.71,16.91,-38.75,2.26,-11.12,4.11,0.00,0.00
ALGT,Allegiant Travel Company,Passenger Transportation Services,45.84,-4.11,-13.00,-19.00,0,0,1,0.5,0,0,0,1,5.92,-35.46,-2.63,--,0.38,0.87,19.15,64.41,-17.12,-4.39,78.23,63.57,6.53,10.78,0.00,0.00
AOSL,Alpha and Omega Semiconductor Ltd,Semiconductors & Semiconductor Equipment ,19.04,-10.02,-25.00,-12.00,0,0,0,0.5,0,0,0,1,1.53,-39.29,-30.01,--,0.92,0.71,15.42,3.50,-2.55,-1.77,-69.35,42.11,4.95,2.54,0.00,0.00
AMR,Alpha Metallurgical Resources Inc,Metals & Mining,124.54,-5.29,0.00,-63.00,1,0,-1,0.5,0,0,0.5,1,-16.51,-25.24,-65.68,8.09,0.51,0.91,4.15,0.35,11.64,7.74,-99.86,"139,900.00",-20.54,24.29,0.00,0.00
AMTM,Amentum Holdings Inc,Construction & Engineering,21.84,-1.81,21.00,0.00,0,0,1,0,-1,,0.5,1,-8.15,7.04,0.00,--,0.46,1.17,12.78,50.54,0.70,0.23,0.00,0.00,0.00,0.00,0.00,0.00
AAT,"American Assets Trust, Inc",Residential & Commercial REITs,19.01,-2.80,-7.00,-12.00,0,0,0,0.5,0,0,0,1,-3.80,-9.17,-20.34,13.65,2.56,0.97,5.12,59.40,6.68,3.44,-60.64,21.62,1.78,-4.76,7.12,3.29
AXL,American Axle & Manufacturing Hldngs Inc,Automobiles & Auto Parts,3.76,-2.67,-9.00,-50.00,0,0,-1,0.5,1,0,0,1,11.14,-22.00,-46.30,24.96,0.09,0.87,1.07,81.46,3.40,0.41,-19.61,41.46,-5.26,-0.02,0.00,0.00
AEO,American Eagle Outfitters Inc,Other Specialty Retailers,11.04,-9.43,-2.00,-54.00,1,0,0,0.5,0,0,0,1,-9.29,-21.04,-56.43,6.45,0.35,1.16,3.42,0.00,18.80,8.92,-42.53,34.00,-2.58,2.25,4.61,-7.37
AWR,American States Water Co,Water Utilities,78.98,0.53,1.00,13.00,0,0,0,-0.5,0,0,-0.5,1,-7.48,8.81,-7.49,24.13,4.95,3.15,17.91,49.56,13.95,5.08,3.79,5.47,8.63,4.03,2.38,9.08
AMWD,American Woodmark Corp,Homebuilding & Construction Supplies,58.13,-5.50,-2.00,-37.00,1,0,0,1,0,0,0.5,1,-6.91,-18.22,-44.37,8.85,0.48,0.93,5.50,28.99,11.09,6.36,-24.15,-2.16,-6.07,-0.73,0.00,0.00
ABCB,Ameris Bancorp,Banking Services,56.96,-3.11,-2.00,47.00,0,0,0,1,0,1,1,-1,1.34,-0.98,12.45,11.37,3.64,1.10,10.11,0.00,10.19,1.43,6.37,8.43,4.09,6.16,1.30,5.39
AMSF,Amerisafe Inc,Insurance,49.02,-2.42,-7.00,7.00,0,0,0,-1,0,-1,0.5,1,-12.28,-1.75,-1.54,18.70,2.95,3.39,18.24,0.00,16.89,3.96,-9.88,-2.19,-0.28,6.54,3.36,2.11
AMN,AMN Healthcare Services Inc,Healthcare Providers & Services,19.35,-3.17,-19.00,-66.00,-1,0,0,0.5,0,0,0,1,9.44,-12.18,-65.49,--,0.29,1.16,214.98,58.21,-21.08,-6.28,-66.77,30.91,-11.02,2.02,0.00,0.00
AMPH,Amphastar Pharmaceuticals Inc,Pharmaceuticals,24.41,-0.49,-15.00,-41.00,0,0,1,0.5,0,0,0,1,-5.61,-19.04,-49.42,8.78,1.56,1.54,5.70,44.57,19.90,8.85,-17.88,12.62,-1.31,5.18,0.00,0.00
ANDE,Andersons Inc,Food & Tobacco,38.14,-3.70,-12.00,-33.00,1,0,0,-1,0,-1,0.5,1,-15.90,-22.59,-40.10,10.78,0.10,0.86,3.96,35.39,8.25,4.63,-35.59,32.88,1.44,5.00,2.29,2.23
ANGI,Angi Inc,Software & IT Services,11.75,-2.08,-25.00,-43.00,0,0,0,1,0,0,0.5,1,19.86,-5.28,-32.04,42.84,0.68,0.76,6.13,32.15,5.05,2.93,-11.43,32.26,-14.50,4.13,0.00,0.00
ANIP,ANI Pharmaceuticals Inc,Pharmaceuticals,70.75,-3.80,3.00,7.00,0,0,0,-1,0,0,1,1,-22.79,0.50,-15.63,--,1.84,2.96,23.28,58.41,-5.22,-1.91,24.81,9.24,27.61,7.69,0.00,0.00
APOG,Apogee Enterprises Inc,Homebuilding & Construction Supplies,39.74,-5.10,-16.00,-37.00,1,0,1,0.5,0,0,0.5,1,-8.93,-16.89,-45.95,10.03,0.62,1.71,6.47,36.87,17.74,8.26,-24.75,7.49,2.01,-0.12,2.67,7.23
ARI,Apollo Commercial Real Estate Financ Inc,Residential & Commercial REITs,9.39,-2.93,-5.00,-15.00,0,0,0,0.5,0,0,0,0,-0.85,0.83,-15.90,--,1.73,0.72,165.18,78.55,-0.22,0.12,102.33,9.20,-2.78,19.41,10.42,-10.78
APLE,Apple Hospitality REIT Inc,Residential & Commercial REITs,11.94,-3.58,-8.00,-21.00,1,0,1,0.5,0,0,0.5,1,-8.79,-20.59,-27.75,14.59,1.93,0.86,7.21,33.89,5.84,3.83,-14.61,3.95,-0.61,2.32,8.29,-4.36
ABR,Arbor Realty Trust Inc,Residential & Commercial REITs,11.51,-17.71,-4.00,-12.00,1,0,1,0.5,0,0,0,1,-25.03,-32.51,-39.93,9.37,1.27,0.72,7.67,76.00,8.09,1.78,-33.33,-3.45,-11.50,8.96,13.45,8.57
ARCB,ArcBest Corp,Freight & Logistics Services,59.1,-8.47,-17.00,-54.00,0,0,1,0.5,1,0,0.5,1,-9.92,-27.35,-46.98,8.20,0.35,1.10,4.29,14.20,14.25,7.53,-23.09,50.10,-1.89,6.12,0.77,8.45
AROC,Archrock Inc,Oil & Gas Related Equipment and Services,24.69,-4.15,-8.00,21.00,0,0,0,1,0,-1,1,1,-4.63,-5.82,12.71,20.55,3.50,3.18,10.44,62.99,17.89,6.11,54.29,13.58,27.50,8.41,3.10,3.88
ACA,Arcosa Inc,Construction & Engineering,80.17,-3.98,0.00,4.00,1,0,1,1,0,0,1,1,-1.14,-8.20,-9.84,53.06,1.59,1.69,14.58,40.72,3.24,1.82,0.00,0.00,0.00,0.00,0.24,0.00
RCUS,Arcus Biosciences Inc,Biotechnology & Medical Research,8.25,2.45,2.00,-47.00,0,0,0,0.5,1,-1,1,1,-1.98,-14.39,-52.38,--,6.59,1.75,0.00,8.29,-63.17,-31.93,0.00,0.00,0.00,0.00,0.00,0.00
ARLO,Arlo Technologies Inc,Other Specialty Retailers,9.9,-1.60,-3.00,-16.00,0,0,-1,1,0,0,1,1,30.80,26.42,0.14,--,2.77,13.56,0.00,0.00,-21.34,-7.40,0.00,0.00,0.00,0.00,0.00,0.00
AHH,Armada Hoffler Properties Inc,Residential & Commercial REITs,6.82,-6.57,-10.00,-36.00,0,0,0,0.5,0,0,0.5,1,-5.42,-20.71,-46.00,90.12,1.11,1.13,6.69,61.93,1.63,0.81,-64.71,8.33,-1.06,2.00,8.20,-9.21
ARR,"ARMOUR Residential REIT, Inc.",Residential & Commercial REITs,16.42,-4.83,-6.00,-14.00,0,0,1,0.5,0,0,0,0,-2.13,-11.82,-23.74,--,2.29,0.77,0.00,88.00,-0.92,-0.01,-3.80,0.85,817.69,15.62,18.06,-23.23
AWI,Armstrong World Industries Inc,Homebuilding & Construction Supplies,138.92,-2.35,-1.00,18.00,1,0,0,1,0,1,0.5,1,5.24,8.82,22.72,24.87,4.49,8.49,17.63,41.22,38.60,15.46,10.94,12.57,10.56,5.97,0.79,9.63
ARWR,Arrowhead Pharmaceuticals Inc,Biotechnology & Medical Research,13.52,0.33,-4.00,-40.00,-1,0,-1,1,0,0,0.5,,8.31,-23.11,-44.39,--,3.90,3.11,0.00,28.59,-24.67,-12.23,75.40,-175.61,"14,128.41",-44.26,0.00,0.00
APAM,Artisan Partners Asset Management Inc,Investment Banking & Investment Services,37.22,-6.84,-5.00,-12.00,0,0,0,1,0,1,0.5,1,4.29,-1.58,-16.22,11.41,2.96,9.34,9.50,28.43,69.77,23.58,-7.89,3.36,1.46,5.26,6.59,3.63
AORT,Artivion Inc,Healthcare Equipment & Supplies,23.73,-1.76,-2.00,16.00,0,0,0,1,0,0,1,1,12.03,3.41,8.81,--,3.12,4.13,518.26,51.97,-7.25,-2.72,0.00,309.09,9.98,10.39,0.00,0.00
ABG,Asbury Automotive Group Inc,Other Specialty Retailers,224.45,-3.03,2.00,1.00,0,0,0,0.5,0,0,0,1,-3.96,-17.48,-12.31,10.78,0.26,1.23,9.08,55.89,11.92,4.08,-1.62,-1.98,3.84,3.97,0.00,0.00
AGO,Assured Guaranty Ltd.,Insurance,87.97,-2.98,0.00,11.00,1,0,0,1,0,0,0.5,0,-8.92,-3.43,0.42,9.92,4.68,0.74,0.00,23.11,7.92,3.85,11.69,-10.47,-7.36,-7.45,1.62,10.94
ASTE,Astec Industries Inc,"Machinery, Equipment & Components",35.27,-7.15,1.00,-17.00,-1,0,0,1,0,0,0.5,1,3.23,25.45,4.85,60.10,0.68,1.37,21.45,14.13,2.33,1.39,-0.82,31.28,3.45,4.01,1.33,3.40
ASTH,Astrana Health Inc,Healthcare Providers & Services,30.74,-9.57,0.00,-17.00,0,0,-1,-1,0,-1,1,,-26.84,-31.47,-41.66,33.75,0.54,1.61,17.71,44.64,5.00,3.07,32.22,32.77,32.23,21.63,0.00,0.00
AUB,Atlantic Union Bankshares Corp,Banking Services,27.49,-5.75,-12.00,-17.00,0,0,0,0.5,0,0,0.5,0,4.10,-16.42,-20.41,13.64,4.88,0.82,17.88,0.00,6.88,0.91,10.58,26.73,64.25,15.91,4.64,6.25
AESI,Atlas Energy Solutions Inc,Construction Materials,14.39,-1.72,-20.00,-39.00,0,0,0,-1,0,-1,0.5,1,-16.79,-39.74,-51.96,40.80,1.34,1.19,8.95,29.07,2.90,1.62,5.45,74.14,12.57,6.83,7.73,0.00
AVNS,Avanos Medical Inc,Healthcare Equipment & Supplies,12.7,-2.12,-11.00,-32.00,0,0,0,0.5,-1,0,0,1,-6.49,-15.58,-44.32,--,0.84,0.69,0.00,11.34,-36.78,-27.46,-30.33,41.18,-2.08,3.32,0.00,0.00
AVA,Avista Corp,Multiline Utilities,41.33,-0.52,0.00,16.00,0,0,0,-1,0,0,-0.5,1,-13.17,6.59,-7.71,16.22,1.58,1.16,6.62,52.97,7.25,2.40,10.48,8.30,-6.42,4.29,5.14,4.16
ACLS,Axcelis Technologies Inc,Semiconductors & Semiconductor Equipment ,48.6,-5.78,0.00,-52.00,1,0,-1,1,0,0,0.5,1,13.37,-4.12,-52.77,10.81,1.98,1.85,9.76,4.05,18.45,13.45,-46.34,7.58,-25.95,7.62,0.00,0.00
AX,Axos Financial Inc,Banking Services,62.84,-4.19,-1.00,18.00,1,0,1,1,0,1,1,1,3.30,6.97,4.42,9.47,3.20,1.52,8.61,0.00,17.80,1.83,-4.05,3.40,5.57,4.76,0.00,0.00
AZTA,Azenta Inc,Biotechnology & Medical Research,27.02,4.94,-23.00,-49.00,0,0,0,0.5,0,-1,0.5,,-3.00,-34.45,-50.08,--,2.02,0.75,32.56,0.00,-2.00,-1.70,-31.25,75.00,-9.15,4.89,0.00,0.00
AZZ,AZZ Inc,Metals & Mining,86.86,-2.48,1.00,19.00,0,0,1,1,0,0,1,1,-0.70,-3.92,-3.13,56.40,1.70,2.56,12.77,45.10,6.01,5.83,13.46,9.49,6.58,3.20,0.76,0.00
BGS,B&G Foods Inc,Food & Tobacco,6.77,-9.19,2.00,-39.00,0,0,0,-1,0,-1,0,1,-44.00,-33.73,-61.48,--,0.17,0.63,0.00,79.63,-32.48,-6.66,-20.00,8.93,-3.57,0.02,18.77,-11.81
BMI,Badger Meter Inc,"Machinery, Equipment & Components",215.78,-0.21,14.00,17.00,1,1,0,1,-1,1,0.5,1,5.19,16.96,11.02,53.65,8.42,11.18,43.06,0.00,22.80,16.34,15.84,12.04,11.93,8.15,0.56,13.77
BCPC,Balchem Corp,Chemicals,156.09,0.26,-6.00,10.00,1,0,0,0.5,0,0,0.5,1,2.01,8.75,-1.93,40.21,5.67,4.52,30.05,13.70,11.94,8.52,16.25,7.28,6.54,6.84,0.52,10.84
BANC,Banc of California Inc,Banking Services,13.12,-3.95,-7.00,-8.00,0,0,0,1,0,0,1,1,-3.47,-6.07,-12.32,21.35,2.03,0.76,10.46,0.00,3.71,0.43,50.00,37.50,10.46,10.50,2.89,5.23
BANF,BancFirst Corp,Banking Services,118.66,-3.45,8.00,33.00,1,0,0,1,0,1,0,-1,-2.44,10.18,26.01,18.77,6.38,2.46,16.86,0.00,14.14,1.67,3.88,0.45,5.29,3.66,1.49,7.48
TBBK,Bancorp Inc,Banking Services,47.71,-4.71,-9.00,56.00,1,0,0,1,0,0,1,1,-2.17,-7.03,40.24,11.70,4.21,2.93,10.77,0.00,26.52,2.52,34.62,23.81,2.45,6.71,0.00,0.00
BOH,Bank of Hawaii Corp,Banking Services,66.45,-3.48,-4.00,12.00,0,0,1,0.5,0,1,-0.5,1,-4.32,-2.48,5.46,18.98,4.12,1.98,15.57,0.00,10.83,0.67,27.17,17.27,12.03,7.83,4.14,1.57
BKU,BankUnited Inc,Banking Services,32.89,-5.13,-1.00,23.00,1,0,0,1,0,0,0.5,0,-4.00,-8.61,7.81,10.69,2.52,0.89,8.63,0.00,8.62,0.69,4.22,9.66,6.33,6.79,3.60,6.30
BANR,Banner Corp,Banking Services,61.63,-4.90,-4.00,36.00,0,0,0,1,0,1,0.5,-1,-6.33,-4.75,22.84,12.21,3.44,1.17,10.92,0.00,10.09,1.11,10.25,6.88,15.53,5.39,3.09,-1.01
BHE,Benchmark Electronics Inc,Electronic Equipment & Parts,38.11,-2.34,-2.00,22.00,0,0,0,0.5,0,0,0.5,1,-9.65,-10.02,-22.40,25.29,0.50,1.19,13.19,19.97,4.84,2.44,1.31,13.79,-0.49,8.51,1.87,2.23
BHLB,Berkshire Hills Bancorp Inc,Banking Services,24.9,-6.31,-6.00,12.00,0,0,0,0.5,0,0,0,1,-6.08,-8.17,-0.82,10.18,2.55,0.97,9.85,0.00,9.69,0.89,17.65,40.77,37.63,78.77,2.87,-4.78
BGC,Bgc Group Inc,Investment Banking & Investment Services,9.03,3.49,-2.00,9.00,1,0,0,1,0,0,0.5,1,-0.23,6.63,-0.22,35.91,1.97,4.80,21.96,59.68,13.58,2.76,19.19,18.64,29.03,9.98,0.84,-34.02
BLFS,BioLife Solutions Inc,Healthcare Equipment & Supplies,24.47,0.50,-4.00,42.00,0,0,0,-1,0,-1,1,1,-16.34,-15.88,-8.24,--,11.15,2.98,7299.32,3.54,-2.22,-1.91,79.55,0.00,18.84,17.59,0.00,0.00
BJRI,BJ's Restaurants Inc,Hotels & Entertainment Services,33.49,-7.41,-5.00,0.00,1,0,0,1,0,0,0,1,18.00,21.59,7.50,44.20,0.67,2.51,9.60,18.71,6.01,2.18,36.05,17.50,3.48,3.01,0.00,0.00
BL,Blackline Inc,Software & IT Services,46.85,-1.05,-3.00,-22.00,1,0,0,1,1,,0.5,1,9.11,15.63,-4.90,24.70,5.12,8.11,16.36,66.32,44.83,8.18,-1.83,7.01,6.87,8.69,0.00,0.00
BXMT,Blackstone Mortgage Trust Inc,Residential & Commercial REITs,19.03,-4.65,-6.00,5.00,-1,0,0,-1,0,-1,0,0,-6.17,-4.91,-3.97,--,1.92,0.87,479.16,81.21,-2.06,-0.37,0.00,46.55,-11.12,10.44,10.06,-2.55
BLMN,Bloomin' Brands Inc,Hotels & Entertainment Services,8.26,-14.81,9.00,-70.00,0,0,-1,1,0,0,0,1,-12.68,-32.78,-67.63,8.99,0.17,1.72,2.61,70.45,21.73,2.41,-32.96,4.17,-0.73,1.51,7.78,19.14
BCC,Boise Cascade Co,Homebuilding & Construction Supplies,95.33,-4.02,-3.00,-31.00,1,0,0,0.5,0,0,0.5,1,-14.67,-21.49,-39.81,10.91,0.50,1.55,7.14,18.24,14.26,8.81,-32.39,24.57,-1.26,4.61,0.96,-14.66
BOOT,Boot Barn Holdings Inc,Other Specialty Retailers,104.0,2.97,-2.00,-5.00,1,0,0,1,0,0,1,1,46.63,26.39,31.45,27.16,2.55,4.32,20.05,1.26,17.45,9.72,5.78,14.79,11.90,12.86,0.00,0.00
BWA,BorgWarner Inc,Automobiles & Auto Parts,28.3,-0.33,0.00,-15.00,1,0,0,1,1,0,1,1,8.84,14.10,-16.48,24.85,0.52,1.27,6.90,39.60,5.38,2.65,-1.16,9.13,-1.41,3.08,1.33,-8.34
BOX,Box Inc,Software & IT Services,30.83,-3.07,0.00,15.00,0,0,0,1,0,0,0.5,1,-4.65,-5.61,9.01,23.28,4.15,0.00,16.75,76.79,0.00,16.82,-25.15,17.19,6.06,7.11,0.00,0.00
BRC,Brady Corp,Professional & Commercial Services  ,69.56,-8.41,-2.00,16.00,1,0,0,1,0,1,,1,-5.01,-1.95,-5.49,17.32,2.26,2.83,14.25,8.09,17.73,12.48,8.29,7.44,11.90,3.77,1.37,2.03
BDN,Brandywine Realty Trust,Residential & Commercial REITs,4.05,-3.71,-9.00,-10.00,-1,0,-1,0.5,0,0,0.5,1,-1.36,-12.38,-19.45,--,1.43,0.72,0.00,68.90,-18.23,-5.79,0.00,0.00,0.00,0.00,14.46,-4.62
BFH,Bread Financial Holdings Inc,Banking Services,48.15,-5.60,-2.00,32.00,1,0,1,1,-1,0,0,0,-1.55,-9.99,11.87,8.98,0.52,0.80,6.40,85.59,9.34,1.28,31.15,25.00,1.82,4.00,1.64,-19.73
EAT,Brinker International Inc,Hotels & Entertainment Services,160.67,0.24,8.00,227.00,1,1,1,0.5,0,0,0,1,-11.06,1.63,109.75,20.63,1.29,25.54,12.57,67.68,314.08,13.16,0.00,0.00,0.00,0.00,0.00,0.00
VTOL,Bristow Group Inc,Passenger Transportation Services,29.83,-4.24,-6.00,10.00,0,0,0,0.5,0,0,0.5,1,-8.04,-17.30,-29.11,7.38,0.58,0.89,4.17,42.98,13.19,5.66,-25.06,45.59,8.37,10.30,0.00,0.00
BRKL,Brookline Bancorp Inc,Banking Services,10.39,-5.85,-6.00,23.00,-1,0,0,0.5,0,0,0.5,1,-5.94,-7.88,6.65,12.78,2.60,0.76,10.69,0.00,6.01,0.63,-10.39,217.39,52.75,37.83,5.16,4.18
BKE,Buckle Inc,Other Specialty Retailers,34.81,1.37,-8.00,-7.00,1,0,0,1,0,0,0,0,10.77,1.96,7.51,10.67,1.74,4.96,9.70,0.00,46.71,21.68,-4.88,1.35,1.10,2.07,3.38,5.92
CABO,Cable One Inc,Telecommunications Services,270.85,-10.28,1.00,-31.00,0,0,0,0,0,,0,0,-46.28,-44.89,-61.86,--,0.53,0.47,1.48,66.70,-1.09,3.31,697.67,11.81,-3.95,-2.06,7.99,6.78
WHD,Cactus Inc,Oil & Gas Related Equipment and Services,38.62,-5.47,-15.00,-25.00,0,0,-1,0.5,0,0,0,1,0.43,-27.30,-25.11,12.98,2.91,2.56,10.67,1.44,19.05,14.17,0.00,0.00,0.00,0.00,1.25,40.91
CALM,Cal-Maine Foods Inc,Food & Tobacco,95.5,-2.06,4.00,67.00,1,0,1,1,0,1,0,1,-3.75,10.41,44.28,4.69,1.21,1.96,4.27,0.00,48.27,37.93,309.84,-63.72,73.40,-30.27,7.13,16.94
CAL,Caleres Inc,Other Specialty Retailers,15.62,-5.82,-11.00,-58.00,1,0,-1,1,0,0,0,0,-1.33,2.85,-58.35,5.36,0.21,0.93,3.46,26.59,17.84,5.74,-7.88,13.82,0.82,2.21,1.70,0.00
CRC,California Resources Corp,Oil & Gas,35.74,-2.11,-19.00,-35.00,0,0,-1,1,0,0,1,,12.18,-9.30,-19.01,7.66,1.03,1.07,3.90,22.32,17.86,9.33,0.00,0.00,0.00,0.00,3.67,0.00
