Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
ACN,Accenture Plc,Software & IT Services,293.25,-2.09,-4.00,-5.00,0,1,0,0.5,0,0,0.5,1,1.95,-13.89,-6.40,26.11,2.95,6.78,22.02,14.59,27.26,14.10,6.28,6.93,5.75,5.63,1.87,11.31
ACCO,ACCO Brands Corp,Professional & Commercial Services  ,3.82,-6.41,-11.00,-19.00,1,0,,-1,0,-1,0.5,1,-11.68,-30.76,-34.08,--,0.20,0.54,0.00,60.59,-15.90,-4.51,-7.84,14.89,-8.39,0.56,8.22,4.13
ACR,Acres Commercial Realty Corp,Residential & Commercial REITs,18.51,-4.16,-12.00,35.00,1,0,,0,0,,0.5,1,-5.01,-4.52,23.62,62.14,0.70,0.31,9.10,74.27,0.63,1.18,-62.32,105.77,-3.34,-14.66,0.00,0.00
AYI,Acuity Inc,Homebuilding & Construction Supplies,242.42,-3.47,-7.00,-4.00,1,0,0,0.5,1,0,0.5,1,1.20,-14.45,-9.52,19.89,2.05,3.23,15.76,30.32,17.86,10.29,8.93,12.74,13.15,10.29,0.26,1.49
GOLF,Acushnet Holdings Corp,Leisure Products,63.56,-2.10,-8.00,0.00,1,0,0,1,0,0,0,1,2.83,8.85,0.45,19.16,1.65,5.26,14.87,54.63,27.15,9.09,4.15,-2.28,1.91,1.75,1.36,8.96
ACVA,ACV Auctions Inc,Software & IT Services,14.75,-1.00,5.00,-24.00,-1,0,,1,0,0,1,1,6.03,-5.59,-17.43,--,4.25,6.50,0.00,27.47,-16.49,-6.74,39.58,0.00,21.89,22.04,0.00,0.00
ADX,Adams Diversified Equity Fund Inc,Collective Investments ,18.65,0.05,1.00,0.00,0,0,,1,0,,,,0.36,1.30,-9.16,4.41,68.47,0.89,0.00,0.00,21.08,21.00,0.00,0.00,0.00,0.00,16.53,62.46
PEO,Adams Natural Resources Fund Inc,Collective Investments ,20.19,-3.56,-9.00,-12.00,0,0,,0.5,0,,,,-8.45,-8.17,-21.47,15.52,25.88,0.83,0.00,0.00,4.86,4.75,0.00,0.00,0.00,0.00,13.09,-1.32
ADCT,ADC Therapeutics SA,Biotechnology & Medical Research,1.46,31.95,-11.00,-69.00,-1,0,,0,0,,1,1,53.94,39.83,-44.80,--,2.92,0.00,0.00,217.70,0.00,-51.33,0.00,0.00,0.00,0.00,0.00,0.00
AGRO,Adecoagro SA,Food & Tobacco,9.43,6.50,-13.00,-10.00,1,0,,-1,-1,-1,-0.5,1,-23.70,-7.29,-14.38,15.22,0.61,0.67,2.66,46.62,4.51,1.93,-61.88,15.58,-1.47,0.44,3.68,0.00
ADNT,Adient PLC,Automobiles & Auto Parts,12.54,-3.16,-2.00,-59.00,0,0,-1,1,-1,0,-0.5,0,9.94,-8.84,-51.42,--,0.09,0.76,8.81,54.26,-14.33,-2.05,-4.35,23.30,-4.68,-0.54,0.00,0.00
ADT^E16,ADT Inc,Communications & Networking,7.95,-3.78,-3.00,22.00,1,0,,1,0,1,0,1,-1.27,14.25,1.56,12.70,1.37,1.90,3.50,68.37,16.26,3.76,0.00,0.00,0.00,0.00,2.70,9.46
ATGE,Adtalem Global Education Inc,Miscellaneous Educational Service Providers,106.45,-1.49,3.00,112.00,0,0,0,1,0,1,1,1,15.47,27.78,78.52,21.64,2.65,3.27,16.34,27.82,16.62,8.31,0.00,0.00,0.00,0.00,0.00,0.00
AAP,Advance Auto Parts Inc,Other Specialty Retailers,32.63,42.85,-16.00,-56.00,-1,0,0,1,0,0,0,1,40.14,16.12,-36.41,--,0.36,1.34,0.00,44.90,-25.33,-5.28,0.00,66.29,-6.76,1.14,2.03,33.03
WMS^J13,Advanced Drainage Systems Inc,Homebuilding & Construction Supplies,112.64,-5.56,3.00,-32.00,0,0,0,1,0,0,1,1,-6.22,-1.09,-43.05,19.28,2.97,5.32,13.63,46.57,31.26,12.89,-0.17,11.39,1.84,3.86,0.65,12.20
ASIX,AdvanSix Inc,Chemicals,21.01,1.59,-7.00,-19.00,0,0,0,0.5,0,0,0,1,4.27,-15.68,-8.85,7.56,0.41,0.80,3.93,21.30,11.26,5.49,76.53,15.32,5.33,4.56,2.71,0.00
AVK,Advent Convertible and Income Fund,Collective Investments ,11.08,-2.14,-4.00,-4.00,0,0,,1,0,,,,-1.91,-1.73,-10.91,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.19,0.00
ACM,Aecom,Construction & Engineering,97.44,-0.84,5.00,3.00,0,1,0,1,0,1,1,1,3.23,12.77,9.30,22.96,0.89,6.20,16.45,50.60,28.07,5.93,13.94,9.90,2.24,5.98,0.97,0.00
AEG,Aegon Ltd (ADR),Insurance,6.53,0.00,-2.00,4.00,0,0,,1,0,-1,,1,1.61,20.24,-6.75,--,0.77,1.07,0.00,34.91,6.97,0.21,0.00,0.00,0.00,0.00,5.39,2.60
AER,AerCap Holdings N.V.,Banking Services,104.02,-1.32,1.00,21.00,1,0,,1,0,1,1,1,3.00,10.96,11.43,9.95,2.75,1.18,4.43,72.87,12.52,2.76,4.33,7.10,2.23,1.97,0.96,0.00
AES,AES Corp,Electrical Utilities & IPPs,10.19,-22.34,-19.00,-42.00,0,1,1,-0.5,1,1,0.5,1,-10.66,-5.49,-58.20,5.28,0.57,1.98,3.83,78.00,40.83,1.05,0.93,3.70,2.92,2.93,7.31,4.79
AMG,Affiliated Managers Group Inc,Investment Banking & Investment Services,163.16,-3.02,-3.00,1.00,1,0,1,1,0,1,0.5,1,1.05,9.22,0.68,14.52,2.45,1.59,6.57,36.99,12.81,7.23,19.03,12.75,2.52,4.34,0.02,-50.00
AFL,Aflac Inc,Insurance,108.49,-3.15,-2.00,29.00,1,0,0,-1,0,-1,0,1,-11.87,2.88,6.17,15.99,3.28,2.11,0.00,22.52,14.41,2.93,-9.20,6.71,-8.80,1.25,2.26,13.12
MITT,AG Mortgage Investment Trust Inc,Residential & Commercial REITs,6.44,-5.36,-16.00,12.00,0,0,,-1,0,0,0.5,,3.33,-1.57,-8.49,7.76,0.48,0.63,0.00,92.53,8.17,0.64,-26.02,17.58,20.06,6.91,11.61,-32.83
AGCO,Agco Corp,"Machinery, Equipment & Components",85.23,-2.91,-10.00,-28.00,0,0,0,1,-1,0,0.5,1,12.38,5.63,-14.10,--,0.71,2.01,0.00,41.70,-13.60,-5.51,-44.13,46.30,-17.30,5.66,1.13,12.99
A,Agilent Technologies Inc,Healthcare Equipment & Supplies,106.87,-2.42,-9.00,-23.00,1,0,0,0.5,0,0,0.5,1,-3.78,-16.04,-34.82,25.16,4.79,5.19,20.49,35.82,20.61,11.01,4.91,9.19,3.43,5.92,0.90,7.80
AGL,Agilon Health Inc,Healthcare Providers & Services,3.84,-13.73,-13.00,-22.00,0,0,,-1,0,-1,0,1,-45.93,-36.36,-66.64,--,0.15,1.82,0.00,6.53,-42.95,-12.02,0.00,0.00,0.00,0.00,0.00,0.00
ADC,Agree Realty Corp,Residential & Commercial REITs,76.43,0.78,-1.00,31.00,0,0,1,-1,1,0,0.5,1,-8.32,9.34,12.44,42.00,12.87,1.50,20.55,34.35,3.50,2.30,3.37,11.41,10.54,9.80,4.12,5.92
AL,Air Lease Corp,Banking Services,46.24,-0.51,-5.00,-11.00,0,0,1,1,0,0,0.5,1,17.61,18.17,7.63,10.00,2.27,0.81,3.54,71.66,8.47,2.20,91.15,-6.94,6.78,7.21,1.54,9.50
APD,Air Products and Chemicals Inc,Chemicals,269.45,-1.89,-9.00,13.00,0,0,0,0.5,0,0,0.5,1,-5.98,-10.29,-7.58,38.78,4.98,4.08,19.47,48.59,10.45,4.24,-3.70,7.77,-1.18,4.84,2.66,9.04
AKA,AKA Brands Holding Corp,Other Specialty Retailers,7.69,-12.97,-46.00,-40.00,0,0,,0,0,,0,1,58.05,-21.69,-30.84,--,0.24,1.25,0.00,51.82,-20.57,-6.75,15.45,73.56,5.54,4.14,0.00,0.00
ALG,Alamo Group Inc,"Machinery, Equipment & Components",168.67,-1.63,-7.00,-15.00,1,0,0,1,0,0,0.5,0,9.39,10.51,-6.84,20.70,1.51,2.26,14.20,17.02,11.48,7.65,11.84,11.61,-0.47,4.99,0.60,16.72
ALK,Alaska Air Group Inc,Passenger Transportation Services,43.02,-5.42,-17.00,-5.00,0,0,1,0.5,1,0,1,1,13.34,-30.37,4.41,18.19,0.48,1.49,6.01,54.03,8.90,2.08,-18.28,60.55,21.65,6.91,0.00,0.00
AIN,Albany International Corp,"Machinery, Equipment & Components",66.58,-3.89,-5.00,-25.00,0,0,0,0.5,0,0,0,1,-5.68,-16.46,-33.75,26.47,1.65,2.21,11.94,31.51,8.32,4.48,-0.94,15.87,-0.89,4.45,1.64,7.63
ALB,Albemarle Corp,Chemicals,58.55,-3.95,-20.00,-51.00,-1,1,0,0.5,-1,0,0,1,-6.49,-26.47,-58.39,--,1.34,0.87,0.00,25.62,-15.30,-9.45,38.46,0.00,-9.70,10.27,2.80,2.29
ACI,Albertsons Companies Inc,Food & Drug Retailing ,21.69,-0.32,1.00,9.00,0,0,0,1,0,0,0.5,1,-8.34,11.18,-3.78,12.26,0.16,3.71,4.40,69.79,33.90,3.92,0.00,0.00,0.00,0.00,2.75,0.00
AA,Alcoa Corp,Metals & Mining,25.56,-2.41,-16.00,-30.00,0,1,0,0.5,1,0,0.5,1,-0.65,-21.34,-39.70,8.31,0.57,1.25,4.80,31.27,17.53,6.08,158.52,-19.20,4.28,-1.09,1.43,0.00
ALEX,Alexander & Baldwin Inc (Hawaii),Residential & Commercial REITs,16.81,-1.64,-5.00,1.00,-1,0,0,0.5,0,0,0.5,1,-2.29,3.29,-5.74,19.46,5.52,0.00,12.45,0.00,0.00,0.00,-13.25,-8.33,-12.59,2.06,5.18,5.34
ALX,Alexander's Inc,Residential & Commercial REITs,207.01,-2.11,-5.00,-3.00,0,0,,0,0,,,-1,0.52,10.45,-6.01,27.97,5.02,6.77,15.00,85.83,20.16,2.91,0.00,0.00,0.00,0.00,8.33,0.00
ARE,Alexandria Real Estate Equities Inc,Residential & Commercial REITs,76.98,-4.12,-21.00,-35.00,0,0,0,-1,0,-1,0,1,-16.63,-24.78,-49.24,90.08,3.68,0.67,7.48,37.31,0.73,0.88,-4.44,34.30,-7.34,2.31,7.70,5.51
BABA,Alibaba Group Holding Ltd - ADR,Software & IT Services,118.37,-1.95,-9.00,59.00,1,0,0,-1,1,0,1,1,-4.39,-6.44,34.61,16.31,2.10,2.06,13.42,17.47,12.97,6.73,8.62,14.76,6.52,8.11,0.86,0.00
ALIT,Alight Inc,Software & IT Services,5.21,-4.00,-11.00,-42.00,0,0,,0.5,0,0,1,0,-1.66,-16.59,-39.29,--,1.28,0.71,8.19,32.94,-0.82,-0.39,0.00,0.00,0.00,0.00,2.90,0.00
ALLE,Allegion PLC,Communications & Networking,137.26,-0.90,6.00,10.00,1,0,1,0.5,0,0,-0.5,1,-4.69,16.68,4.54,19.87,3.19,7.59,16.42,55.41,42.05,14.05,3.98,7.66,3.91,4.70,1.44,12.20
ALE,ALLETE Inc,Electrical Utilities & IPPs,65.25,-0.20,-1.00,10.00,0,0,1,0.5,0,0,0,1,-6.60,3.90,-6.30,20.36,2.47,1.31,9.35,36.25,6.49,1.77,23.87,9.90,1.26,5.62,4.50,3.71
AWF,AllianceBernstein Global Hgh Incm Fd Inc,Collective Investments ,10.49,-1.48,-2.00,2.00,0,0,,1,0,,,,-4.59,1.29,-9.62,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.38,0.00
AB,Alliancebernstein Holding LP,Investment Banking & Investment Services,38.67,-3.96,-2.00,12.00,0,0,,1,0,0,0,1,-3.58,12.57,3.59,10.48,9.39,2.15,0.00,0.00,20.69,20.67,-3.69,12.14,3.97,6.28,8.57,5.13
AFB,Alliancebernstein National Mncpl ncm Fnd,Collective Investments ,10.36,-0.19,-4.00,-1.00,0,0,,0.5,0,,,,-5.38,-3.16,-13.59,4.84,11.38,0.82,0.00,0.00,18.23,10.66,0.00,0.00,0.00,0.00,4.36,-6.06
ALSN,Allison Transmission Holdings Inc,"Machinery, Equipment & Components",92.22,-1.55,-4.00,23.00,1,0,,1,0,1,0,1,5.21,5.91,25.03,12.01,2.72,5.26,9.99,59.04,50.15,14.47,4.93,14.11,-0.97,3.86,1.04,10.76
EOD,Allspring Global Dividend Opportunty Fnd,Collective Investments ,4.98,0.77,1.00,9.00,0,0,,0,0,,,,-0.80,4.52,-1.43,3.62,16.66,0.95,0.00,16.64,28.74,23.38,0.00,0.00,0.00,0.00,9.02,0.00
ALL,Allstate Corp,Insurance,195.41,-1.34,-7.00,13.00,1,1,0,1,1,1,1,1,-2.42,12.10,10.71,13.85,0.82,2.68,12.09,26.83,21.41,3.63,-2.13,20.52,6.95,8.18,1.98,13.24
ALUR,Allurion Technologies Inc,Software & IT Services,2.36,2.79,-25.00,-95.00,-1,0,,0,0,,1,,18.87,-14.19,-93.42,--,0.78,0.00,0.00,0.00,0.00,-49.50,0.00,0.00,0.00,0.00,0.00,0.00
ALLY,Ally Financial Inc,Banking Services,0.00,-5.09,0.00,0.00,1,0,1,0,1,0,,,-4.02,-8.71,-21.17,0.00,1.23,0.88,7.34,0.00,1.52,0.15,48.09,55.75,-2.78,14.76,3.54,12.03
AMR,Alpha Metallurgical Resources Inc,Metals & Mining,124.54,-5.29,0.00,-63.00,1,0,-1,0.5,0,0,0.5,1,-16.51,-25.24,-65.68,8.09,0.51,0.91,4.15,0.35,11.64,7.74,-99.86,"139,900.00",-20.54,24.29,0.00,0.00
PINE,Alpine Income Property Trust Inc,Residential & Commercial REITs,15.40,-1.59,-7.00,4.00,0,0,,-1,0,-1,0.5,1,-14.59,-5.67,-13.70,204.05,3.92,0.89,7.61,58.19,0.47,0.21,0.00,0.00,0.00,0.00,7.70,0.00
ALTG,Alta Equipment Group Inc,"Machinery, Equipment & Components",4.55,-8.67,-3.00,-62.00,0,0,,1,0,0,0.5,1,2.82,-24.66,-50.26,--,0.09,2.79,2.54,95.21,-76.83,-4.64,0.00,0.00,0.00,0.00,4.61,0.00
ATUS,Altice USA Inc,Telecommunications Services,2.42,-19.79,-15.00,15.00,-1,0,,1,0,0,0,0,-10.08,-14.19,-10.34,--,0.12,0.00,0.69,102.12,0.00,-0.43,0.00,0.00,0.00,0.00,0.00,0.00
ANRO,Alto Neuroscience Inc,Biotechnology & Medical Research,2.41,20.58,4.00,-83.00,1,0,,0,0,,1,,20.65,-1.66,-78.33,--,0.00,0.57,0.00,13.20,-38.04,-33.09,0.00,0.00,0.00,0.00,0.00,0.00
MO,Altria Group Inc,Food & Tobacco,58.19,2.14,0.00,34.00,0,0,1,-0.5,0,0,0,1,-5.17,14.30,16.30,9.92,4.21,0.00,9.51,115.31,0.00,28.27,5.27,2.41,-1.46,0.00,6.88,-0.40
AMBC,Ambac Financial Group Inc,Insurance,8.03,-1.52,-8.00,-45.00,1,0,-1,0.5,0,0,0.5,1,-5.75,-28.54,-59.64,--,1.89,0.42,0.00,11.02,-4.82,-1.13,-83.33,0.00,-31.04,17.41,0.00,0.00
ABEV,Ambev SA (ADR),Beverages,2.49,-1.18,8.00,6.00,0,0,,0,0,,0.5,1,-4.21,37.61,-0.86,15.69,2.42,2.37,10.08,3.26,15.93,10.56,5.88,5.56,1.31,4.88,6.09,0.00
AMC,AMC Entertainment Holdings Inc,Hotels & Entertainment Services,2.72,15.30,-6.00,-21.00,-1,0,,1,0,0,0,-1,12.25,-2.79,-41.83,--,0.31,0.00,0.00,173.94,0.00,-4.72,28.30,56.58,6.88,6.89,0.00,0.00
AMCR,Amcor PLC,Containers & Packaging,9.63,-3.01,-1.00,6.00,0,0,0,-1,1,-1,1,1,-12.24,-8.99,-18.54,16.19,1.55,3.39,15.40,69.51,20.68,4.71,0.00,0.00,0.00,0.00,5.65,-3.02
AMTM,Amentum Holdings Inc,Construction & Engineering,21.84,-1.81,21.00,0.00,0,0,1,0,-1,,0.5,1,-8.15,7.04,0.00,--,0.46,1.17,12.78,50.54,0.70,0.23,0.00,0.00,0.00,0.00,0.00,0.00
AS,Amer Sports Inc,Other Specialty Retailers,24.26,21.52,-9.00,61.00,-1,0,,0,0,,1,1,46.17,33.80,126.89,100.43,3.36,3.52,36.81,22.68,4.38,2.51,0.00,0.00,0.00,0.00,0.00,0.00
AMTB,Amerant Bancorp Inc,Banking Services,16.94,-5.81,-18.00,-22.00,0,0,,0.5,0,-1,0.5,,-4.62,-23.84,-31.17,--,2.06,0.80,0.00,0.00,-1.75,-0.14,17.02,42.42,25.93,8.91,2.09,0.00
AEE,Ameren Corp,Multiline Utilities,98.89,-1.47,-1.00,33.00,0,1,1,-1,0,0,0.5,0,-9.46,2.77,18.39,21.16,3.26,2.11,9.07,61.38,10.23,2.79,6.91,7.07,7.15,5.25,2.98,6.90
AMRC,Ameresco Inc,Renewable Energy,10.72,-7.52,-13.00,-50.00,0,0,,1,0,0,0.5,,27.39,-27.04,-60.77,13.45,0.39,0.71,4.82,62.09,5.65,1.37,-26.17,44.30,6.18,10.00,0.00,0.00
AMX,America Movil SAB de CV (ADR),Telecommunications Services,17.18,0.87,18.00,-10.00,0,0,,1,1,,1,1,-4.08,23.69,-19.48,30.65,1.14,2.70,4.83,64.54,9.32,2.22,190.00,8.97,1.98,3.51,2.90,0.00
AAT,"American Assets Trust, Inc",Residential & Commercial REITs,19.01,-2.80,-7.00,-12.00,0,0,0,0.5,0,0,0,1,-3.80,-9.17,-20.34,13.65,2.56,0.97,5.12,59.40,6.68,3.44,-60.64,21.62,1.78,-4.76,7.12,3.29
AXL,American Axle & Manufacturing Hldngs Inc,Automobiles & Auto Parts,3.76,-2.67,-9.00,-50.00,0,0,-1,0.5,1,0,0,1,11.14,-22.00,-46.30,24.96,0.09,0.87,1.07,81.46,3.40,0.41,-19.61,41.46,-5.26,-0.02,0.00,0.00
AEO,American Eagle Outfitters Inc,Other Specialty Retailers,11.04,-9.43,-2.00,-54.00,1,0,0,0.5,0,0,0,1,-9.29,-21.04,-56.43,6.45,0.35,1.16,3.42,0.00,18.80,8.92,-42.53,34.00,-2.58,2.25,4.61,-7.37
AXP,American Express Co,Banking Services,264.95,-4.13,0.00,12.00,0,1,1,1,0,0,0.5,1,0.86,-1.03,8.66,20.06,2.77,6.45,16.85,86.46,33.83,3.73,13.78,14.29,8.14,8.01,1.14,11.03
AFG,American Financial Group Inc,Insurance,127.31,-2.25,-3.00,-1.00,1,0,0,-1,0,1,0,1,-11.74,6.93,-12.26,12.76,1.24,2.31,11.50,25.15,18.51,2.65,-3.63,14.38,0.28,7.01,2.64,12.17
AHR,American Healthcare REIT Inc,Residential & Commercial REITs,31.59,-2.86,2.00,127.00,1,0,,1,1,,1,1,2.65,27.67,118.92,--,2.62,2.37,37.74,42.53,-2.14,-0.79,0.00,0.00,0.00,0.00,2.94,0.00
AMH,American Homes 4 Rent,Residential & Commercial REITs,37.22,-1.72,-2.00,1.00,0,0,0,1,1,0,0.5,1,-4.39,10.35,-6.01,34.92,7.89,1.95,14.84,38.58,5.62,3.60,-37.96,7.46,5.84,5.14,3.19,24.02
AIG,American International Group Inc,Insurance,81.93,-1.45,-3.00,9.00,0,1,1,-0.5,0,1,0.5,1,-6.60,12.64,-5.58,20.46,1.73,1.15,7.69,17.43,5.91,0.74,27.88,23.70,1.74,3.14,2.19,4.04
ARL,American Realty Investors Inc,Real Estate Operations,11.59,0.84,5.00,-18.00,0,0,,0,0,,,,0.64,2.85,-12.40,--,4.52,0.36,1024.77,20.02,-2.21,-1.14,0.00,0.00,0.00,0.00,0.00,0.00
AWR,American States Water Co,Water Utilities,78.98,0.53,1.00,13.00,0,0,0,-0.5,0,0,-0.5,1,-7.48,8.81,-7.49,24.13,4.95,3.15,17.91,49.56,13.95,5.08,3.79,5.47,8.63,4.03,2.38,9.08
NYC,American Strategic Investment Co,Real Estate Operations,11.54,1.41,5.00,93.00,0,0,,0,0,,,,-15.08,1.88,15.69,--,0.46,0.33,0.00,80.23,-90.59,-23.41,0.00,0.00,0.00,0.00,0.00,0.00
AMT,American Tower Corp,Residential & Commercial REITs,211.30,-0.67,-2.00,23.00,0,1,0,-1,1,0,1,1,-6.40,14.45,-0.17,33.98,9.67,27.85,14.46,78.77,76.39,4.55,28.84,15.30,1.98,4.71,3.23,12.69
AVD,American Vanguard Corp,Chemicals,4.16,3.90,-7.00,-64.00,-1,0,-1,0.5,0,-1,0.5,1,-4.55,-17.54,-57.75,--,0.22,0.37,0.00,35.28,-8.43,-3.70,0.00,0.00,-4.72,4.35,0.00,8.45
